user,repository_name,url,size,stargazers_count,forks_count,open_issues
cilium,ebpf,https://github.com/cilium/ebpf.git,16916,2562,276,29
cilium,cilium,https://github.com/cilium/cilium.git,195927,11500,1521,962
zoidbergwill,awesome-ebpf,https://github.com/zoidbergwill/awesome-ebpf.git,916,2155,192,7
iovisor,bpftrace,https://github.com/iovisor/bpftrace.git,7293,5204,791,270
cloudflare,ebpf_exporter,https://github.com/cloudflare/ebpf_exporter.git,4434,1244,135,14
microsoft,ebpf-for-windows,https://github.com/microsoft/ebpf-for-windows.git,8879,1364,103,104
aquasecurity,tracee,https://github.com/aquasecurity/tracee.git,10212,1775,210,169
Gui774ume,ebpfkit,https://github.com/Gui774ume/ebpfkit.git,7982,292,40,3
ehids,ecapture,https://github.com/ehids/ecapture.git,6794,2931,321,2
newtools,ebpf,https://github.com/newtools/ebpf.git,2053,243,24,6
harporoeder,ebpfsnitch,https://github.com/harporoeder/ebpfsnitch.git,621,634,26,3
cilium,hubble,https://github.com/cilium/hubble.git,18582,1919,139,47
lizrice,ebpf-beginners,https://github.com/lizrice/ebpf-beginners.git,18,238,30,1
vbpf,ebpf-verifier,https://github.com/vbpf/ebpf-verifier.git,4807,201,29,23
ebpf-io,ebpf.io,https://github.com/ebpf-io/ebpf.io.git,29268,81,38,12
foniod,redbpf,https://github.com/foniod/redbpf.git,1296,1186,98,46
nevermosby,linux-bpf-learning,https://github.com/nevermosby/linux-bpf-learning.git,111,271,68,3
nccgroup,ebpf,https://github.com/nccgroup/ebpf.git,2059,88,13,2
chompie1337,Linux_LPE_eBPF_CVE-2021-3490,https://github.com/chompie1337/Linux_LPE_eBPF_CVE-2021-3490.git,39,235,48,0
aquasecurity,libbpfgo,https://github.com/aquasecurity/libbpfgo.git,635,259,48,34
dropbox,goebpf,https://github.com/dropbox/goebpf.git,1794,911,65,9
feiskyer,ebpf-apps,https://github.com/feiskyer/ebpf-apps.git,4456,73,26,0
qmonnet,rbpf,https://github.com/qmonnet/rbpf.git,384,441,71,12
